generacion	nodo	recorrido					ciudades
2			28		135.62505962431683			[1, 3, 18, 15, 24, 21, 20, 23, 8, 17, 12, 5, 22, 6, 13, 25, 4, 19, 14, 2, 10, 16, 9, 11, 7, 1]
2			29		128.90740297062567			[1, 18, 14, 15, 19, 20, 25, 22, 17, 24, 11, 7, 9, 6, 21, 12, 13, 3, 10, 16, 23, 5, 2, 4, 8, 1]
2			30		113.32383511423278			[1, 21, 22, 11, 10, 5, 2, 18, 14, 6, 4, 7, 3, 25, 19, 24, 16, 15, 20, 12, 23, 17, 9, 8, 13, 1]
2			31		132.41327501471105			[1, 2, 25, 17, 14, 19, 20, 22, 15, 3, 18, 11, 24, 5, 13, 6, 4, 9, 21, 23, 10, 7, 16, 8, 12, 1]
2			32		144.32392044553464			[1, 22, 25, 2, 4, 21, 20, 8, 13, 10, 12, 14, 24, 6, 19, 15, 3, 9, 18, 7, 23, 11, 5, 17, 16, 1]
2			33		121.44687021883256			[1, 4, 7, 20, 25, 8, 14, 18, 24, 9, 5, 6, 10, 17, 12, 13, 2, 23, 21, 22, 16, 15, 19, 11, 3, 1]
2			34		116.56999702265394			[1, 25, 24, 14, 22, 15, 10, 23, 18, 7, 19, 20, 21, 11, 4, 2, 17, 9, 16, 8, 13, 3, 5, 6, 12, 1]
2			35		135.53474373039495			[1, 7, 10, 6, 3, 19, 21, 8, 2, 20, 24, 13, 25, 9, 18, 23, 12, 16, 22, 15, 4, 5, 14, 17, 11, 1]
2			36		112.34142684436537			[1, 23, 17, 14, 11, 2, 6, 8, 9, 7, 22, 25, 24, 20, 19, 16, 10, 15, 5, 13, 12, 21, 3, 18, 4, 1]
2			37		139.5088681312052			[1, 11, 17, 22, 6, 2, 7, 8, 19, 5, 15, 14, 24, 18, 3, 9, 12, 23, 10, 16, 4, 20, 25, 13, 21, 1]
2			38		129.19930215939482			[1, 9, 19, 8, 4, 23, 20, 22, 6, 3, 16, 14, 21, 2, 11, 24, 13, 18, 25, 5, 7, 15, 17, 12, 10, 1]
2			39		124.12857113444002			[1, 22, 25, 6, 2, 23, 19, 13, 9, 4, 14, 24, 16, 3, 12, 21, 5, 20, 11, 10, 18, 15, 7, 8, 17, 1]
2			40		123.95553342979179			[1, 21, 25, 16, 20, 22, 23, 14, 5, 15, 6, 19, 24, 4, 13, 18, 11, 17, 7, 10, 3, 8, 9, 2, 12, 1]
2			41		124.35712567083513			[1, 5, 10, 17, 9, 23, 4, 3, 7, 21, 11, 15, 16, 14, 6, 8, 20, 25, 12, 18, 13, 22, 24, 2, 19, 1]
2			42		146.1636149733523			[1, 25, 5, 7, 10, 19, 2, 3, 24, 16, 23, 4, 14, 8, 20, 17, 22, 9, 18, 12, 21, 15, 13, 6, 11, 1]
2			43		125.87573341815941			[1, 14, 4, 15, 22, 19, 13, 10, 25, 7, 5, 23, 12, 20, 8, 21, 16, 6, 2, 24, 18, 3, 17, 9, 11, 1]
2			44		129.57075385169975			[1, 11, 6, 21, 19, 24, 2, 7, 9, 5, 14, 10, 20, 8, 12, 15, 13, 16, 4, 17, 23, 18, 3, 22, 25, 1]
2			45		126.08140768472107			[1, 9, 2, 20, 17, 5, 7, 14, 18, 11, 16, 15, 19, 6, 10, 23, 22, 12, 3, 4, 8, 25, 21, 13, 24, 1]
2			46		132.51318042534612			[1, 3, 9, 8, 2, 15, 20, 4, 22, 18, 23, 24, 12, 5, 11, 25, 14, 7, 10, 6, 21, 16, 13, 19, 17, 1]
2			47		137.60197096746887			[1, 4, 24, 22, 5, 21, 20, 19, 8, 3, 7, 9, 2, 23, 17, 15, 25, 16, 14, 11, 18, 6, 10, 12, 13, 1]
2			48		136.96083898136894			[1, 23, 13, 2, 18, 4, 9, 14, 21, 12, 17, 3, 7, 6, 5, 24, 15, 22, 8, 20, 19, 25, 10, 16, 11, 1]
2			49		130.05699274327657			[1, 10, 9, 22, 20, 19, 25, 18, 17, 3, 7, 21, 16, 2, 15, 11, 23, 24, 6, 5, 14, 13, 4, 8, 12, 1]
2			50		99.51375983551046			[1, 23, 25, 12, 3, 17, 9, 14, 10, 19, 11, 8, 15, 2, 4, 22, 18, 13, 6, 20, 21, 24, 16, 5, 7, 1]
2			51		117.29188683890918			[1, 23, 21, 24, 19, 2, 11, 6, 13, 4, 20, 22, 12, 18, 3, 25, 8, 5, 15, 16, 14, 9, 10, 7, 17, 1]
2			52		123.79725898760283			[1, 5, 18, 15, 19, 21, 20, 4, 8, 17, 12, 7, 22, 6, 13, 14, 24, 25, 3, 2, 10, 16, 9, 11, 23, 1]
2			53		142.5727156496926			[1, 17, 4, 20, 21, 10, 5, 22, 8, 25, 6, 7, 12, 9, 23, 15, 14, 18, 24, 13, 19, 2, 3, 16, 11, 1]
2			54		120.66346793899608			[1, 2, 13, 22, 24, 8, 4, 16, 5, 3, 18, 20, 10, 15, 6, 23, 11, 25, 17, 9, 7, 19, 14, 21, 12, 1]
2			55		121.10075664570937			[1, 12, 13, 11, 10, 5, 2, 18, 14, 6, 4, 22, 21, 25, 19, 24, 16, 15, 20, 7, 23, 17, 9, 8, 3, 1]
2			56		133.50668507867437			[1, 21, 22, 18, 17, 3, 20, 16, 2, 12, 25, 11, 24, 5, 13, 6, 14, 9, 4, 23, 10, 7, 19, 8, 15, 1]
2			57		135.33626851794293			[1, 22, 25, 20, 4, 13, 14, 2, 15, 10, 17, 5, 24, 12, 8, 6, 19, 9, 21, 3, 23, 18, 7, 11, 16, 1]
2			58		141.28000501461378			[1, 4, 24, 19, 22, 17, 15, 23, 14, 6, 20, 21, 12, 10, 25, 9, 11, 16, 5, 8, 13, 3, 2, 7, 18, 1]
2			59		136.5424640902346			[1, 18, 3, 23, 2, 21, 5, 8, 24, 25, 17, 13, 20, 6, 19, 15, 12, 9, 22, 7, 4, 10, 14, 16, 11, 1]
2			60		133.64390165164394			[1, 23, 17, 22, 6, 2, 19, 7, 20, 5, 12, 18, 24, 11, 3, 10, 13, 8, 9, 16, 14, 21, 25, 15, 4, 1]
2			61		123.39453940373559			[1, 4, 17, 6, 3, 19, 21, 8, 2, 20, 24, 18, 7, 9, 15, 22, 10, 16, 11, 23, 12, 5, 14, 13, 25, 1]
2			62		132.1702330365913			[1, 23, 17, 16, 6, 11, 7, 8, 19, 24, 15, 14, 25, 18, 3, 9, 12, 21, 10, 2, 4, 20, 22, 13, 5, 1]
2			63		130.3386738779855			[1, 9, 6, 5, 4, 23, 19, 24, 7, 3, 13, 14, 21, 25, 11, 22, 16, 20, 8, 10, 18, 15, 2, 12, 17, 1]
2			64		124.52619688096188			[1, 22, 25, 16, 2, 3, 17, 14, 18, 12, 6, 19, 24, 4, 13, 21, 11, 20, 7, 10, 23, 5, 9, 8, 15, 1]
2			65		139.88905223654598			[1, 12, 10, 24, 9, 23, 17, 3, 4, 21, 11, 15, 16, 14, 6, 8, 20, 18, 25, 5, 13, 22, 19, 2, 7, 1]
2			66		133.80295714010478			[1, 3, 8, 2, 14, 16, 6, 25, 15, 9, 19, 18, 13, 21, 4, 24, 22, 5, 20, 23, 17, 11, 10, 7, 12, 1]
2			67		139.6499771532519			[1, 6, 5, 17, 13, 19, 4, 25, 7, 2, 22, 14, 10, 8, 20, 3, 16, 23, 18, 12, 21, 15, 24, 9, 11, 1]
2			68		136.15270997729448			[1, 25, 16, 15, 7, 8, 14, 3, 13, 12, 5, 22, 19, 20, 18, 21, 10, 6, 2, 9, 24, 11, 17, 4, 23, 1]
2			69		115.87391513845333			[1, 11, 22, 3, 6, 16, 14, 12, 9, 8, 17, 20, 2, 10, 18, 5, 7, 15, 19, 4, 13, 25, 21, 23, 24, 1]
2			70		123.67567582671415			[1, 9, 18, 23, 5, 17, 22, 4, 16, 3, 20, 8, 13, 7, 15, 2, 10, 6, 14, 11, 19, 12, 21, 25, 24, 1]
